domain,verifier,frame,strategy,Errors_Caught_Rate,Errors_Passed_Rate,Errors_Introduced_Rate,Correct_Confirmed_Rate
code,deepseek,neutral,cot,0.4230769230769231,0.5769230769230769,0.0,1.0
code,deepseek,neutral,direct,0.5769230769230769,0.4230769230769231,0.0,1.0
code,deepseek,neutral,rubric,0.5384615384615384,0.46153846153846156,0.0,1.0
code,deepseek,other,cot,0.46153846153846156,0.5384615384615384,0.0,1.0
code,deepseek,other,direct,0.6153846153846154,0.38461538461538464,0.0,1.0
code,deepseek,other,rubric,0.5,0.5,0.0,1.0
code,deepseek,self,cot,0.5,0.5,0.0,1.0
code,deepseek,self,direct,0.8076923076923077,0.19230769230769232,0.0,1.0
code,deepseek,self,rubric,0.6923076923076923,0.3076923076923077,0.0,1.0
code,llama,neutral,cot,0.7307692307692307,0.2692307692307692,0.07142857142857142,0.9285714285714286
code,llama,neutral,direct,0.5769230769230769,0.4230769230769231,0.0,1.0
code,llama,neutral,rubric,0.7307692307692307,0.2692307692307692,0.07142857142857142,0.9285714285714286
code,llama,other,cot,0.6538461538461539,0.34615384615384615,0.0,1.0
code,llama,other,direct,0.5769230769230769,0.4230769230769231,0.0,1.0
code,llama,other,rubric,0.6923076923076923,0.3076923076923077,0.07142857142857142,0.9285714285714286
code,llama,self,cot,0.8076923076923077,0.19230769230769232,0.0,1.0
code,llama,self,direct,0.6923076923076923,0.3076923076923077,0.0,1.0
code,llama,self,rubric,0.8076923076923077,0.19230769230769232,0.07142857142857142,0.9285714285714286
code,mistral,neutral,cot,0.6538461538461539,0.34615384615384615,0.14285714285714285,0.8571428571428571
code,mistral,neutral,direct,1.0,0.0,0.0,1.0
code,mistral,neutral,rubric,1.0,0.0,0.7857142857142857,0.21428571428571427
code,mistral,other,cot,0.6153846153846154,0.38461538461538464,0.21428571428571427,0.7857142857142857
code,mistral,other,direct,1.0,0.0,0.0,1.0
code,mistral,other,rubric,1.0,0.0,0.8571428571428571,0.14285714285714285
